#  Q(A^-1)        R           dR         dQ(A^-1)    
6.99485e-03  1.00960e+00  1.29827e-02  6.99485e-04  
8.00189e-03  1.01700e+00  1.29827e-02  8.00189e-04  
9.00270e-03  9.93155e-01  1.29827e-02  9.00270e-04  
9.99853e-03  1.00926e+00  1.29827e-02  9.99853e-04  
1.10010e-02  9.80313e-01  1.29825e-02  1.10010e-03  
1.20149e-02  9.88875e-01  1.28777e-02  1.20149e-03  
1.29989e-02  8.77514e-01  1.20763e-02  1.29989e-03  
1.39936e-02  7.11791e-01  1.11149e-02  1.39936e-03  
1.50108e-02  6.37225e-01  1.03858e-02  1.50108e-03  
1.59943e-02  5.66573e-01  9.77517e-03  1.59943e-03  
1.70194e-02  5.09710e-01  9.18640e-03  1.70194e-03  
1.79828e-02  4.41791e-01  8.66259e-03  1.79828e-03  
1.89632e-02  3.83646e-01  8.15374e-03  1.89632e-03  
1.99959e-02  3.36290e-01  7.64173e-03  1.99959e-03  
2.09704e-02  2.93074e-01  7.17843e-03  2.09704e-03  
2.20048e-02  2.71925e-01  6.70766e-03  2.20048e-03  
2.30141e-02  2.40649e-01  6.26850e-03  2.30141e-03  
2.40055e-02  1.95869e-01  5.85549e-03  2.40055e-03  
2.50058e-02  1.69609e-01  5.45809e-03  2.50058e-03  
2.60041e-02  1.53864e-01  5.07947e-03  2.60041e-03  
2.49640e-02  1.77291e-01  3.37851e-04  2.49640e-03  
2.74216e-02  1.24237e-01  2.82344e-04  2.74216e-03  
2.98752e-02  8.46594e-02  2.33331e-04  2.98752e-03  
3.22189e-02  5.69098e-02  1.92110e-04  3.22189e-03  
3.47325e-02  3.65446e-02  1.53517e-04  3.47325e-03  
3.71043e-02  2.26846e-02  1.22016e-04  3.71043e-03  
3.94636e-02  1.38174e-02  9.50004e-05  3.94636e-03  
4.20015e-02  7.54027e-03  7.03272e-05  4.20015e-03  
4.43749e-02  3.98679e-03  5.10621e-05  4.43749e-03  
4.68545e-02  1.79783e-03  3.46751e-05  4.68545e-03  
4.92631e-02  7.64657e-04  2.25239e-05  4.92631e-03  
5.16191e-02  3.08618e-04  1.52119e-05  5.16191e-03  
5.40218e-02  2.64692e-04  1.39844e-05  5.40218e-03  
5.64990e-02  3.99505e-04  1.70268e-05  5.64990e-03  
5.89932e-02  6.25006e-04  2.06874e-05  5.89932e-03  
6.13064e-02  7.85744e-04  2.33918e-05  6.13064e-03  
6.37966e-02  9.16353e-04  2.52989e-05  6.37966e-03  
6.61579e-02  1.03961e-03  2.61670e-05  6.61579e-03  
6.85830e-02  1.01848e-03  2.62150e-05  6.85830e-03  
7.10748e-02  9.78370e-04  2.55105e-05  7.10748e-03  
7.32874e-02  8.36764e-04  2.43651e-05  7.32874e-03  
7.57612e-02  6.96492e-04  2.26325e-05  7.57612e-03  
7.84219e-02  5.87907e-04  2.03805e-05  7.84219e-03  
8.06934e-02  4.67177e-04  1.82500e-05  8.06934e-03  
8.29505e-02  3.27453e-04  1.60311e-05  8.29505e-03  
8.54410e-02  2.37838e-04  1.35575e-05  8.54410e-03  
8.79149e-02  1.39583e-04  1.11623e-05  8.79149e-03  
9.03616e-02  8.72576e-05  8.94352e-06  9.03616e-03  
9.25840e-02  5.31003e-05  7.14223e-06  9.25840e-03  
9.53240e-02  3.55343e-05  5.36194e-06  9.53240e-03  
9.76249e-02  1.42354e-05  4.45309e-06  9.76249e-03  
9.99161e-02  1.68286e-05  4.24971e-06  9.99161e-03  
9.50738e-02  3.17907e-05  3.01138e-06  9.50738e-03  
1.01091e-01  2.02922e-05  2.51264e-06  1.01091e-02  
1.07218e-01  3.84049e-05  3.17219e-06  1.07218e-02  
1.13356e-01  4.94544e-05  3.57422e-06  1.13356e-02  
1.19354e-01  4.57286e-05  3.53208e-06  1.19354e-02  
1.25770e-01  3.61109e-05  3.12771e-06  1.25770e-02  
1.31536e-01  1.64347e-05  2.59607e-06  1.31536e-02  
1.38109e-01  8.09462e-06  1.97619e-06  1.38109e-02  
1.43763e-01  2.85256e-06  1.59364e-06  1.43763e-02  
1.49793e-01  4.43639e-06  1.52064e-06  1.49793e-02  
1.40007e-01  3.72889e-06  1.22530e-06  1.40007e-02  
1.48457e-01  1.37211e-06  1.13903e-06  1.48457e-02  
1.56923e-01  1.36992e-06  1.18101e-06  1.56923e-02  
1.65169e-01  2.20469e-06  1.19517e-06  1.65169e-02  
1.74193e-01  5.30201e-07  1.16045e-06  1.74193e-02  
1.81832e-01  1.63669e-06  1.11139e-06  1.81832e-02  
2.07176e-01  2.63111e-07  1.05358e-06  2.07176e-02  
2.16073e-01  8.09496e-07  1.05193e-06  2.16073e-02  
2.57998e-01  2.82541e-07  1.01470e-06  2.57998e-02  
2.91432e-01  6.40842e-07  1.00557e-06  2.91432e-02  
2.99831e-01  2.29497e-07  1.00442e-06  2.99831e-02  
