# Q(A^-1)        R
6.9858200000000002e-03 9.0515673305773736e-01
7.3863499999999999e-03 9.5339440487166771e-01
7.7715099999999997e-03 9.8008244689217872e-01
8.1527000000000006e-03 9.7097884185330441e-01
8.5611300000000001e-03 9.7411977749700773e-01
8.9293399999999992e-03 9.9339465629643553e-01
9.3270200000000001e-03 9.8123646454723090e-01
9.7145500000000006e-03 9.9632360508169215e-01
1.0084700000000000e-02 9.6863606306851402e-01
1.0475300000000000e-02 9.5366302127726932e-01
1.0876900000000000e-02 9.4545025711077868e-01
1.1260400000000000e-02 9.6275156702736009e-01
1.1655900000000000e-02 9.7692417414625421e-01
1.2026900000000000e-02 9.5960580459751454e-01
1.2445500000000000e-02 9.6153168986767490e-01
1.2823599999999999e-02 9.5487762828819001e-01
1.3186300000000000e-02 9.2020962132654471e-01
1.3580900000000000e-02 8.5834834587845399e-01
1.3984699999999999e-02 8.0629327226377823e-01
1.4365599999999999e-02 7.5067464067315193e-01
1.4748900000000001e-02 6.8218366074739878e-01
1.5165600000000000e-02 6.2743046060641128e-01
1.5513100000000000e-02 5.4651298894856115e-01
1.5907100000000000e-02 4.7592655971619052e-01
1.6300300000000000e-02 4.0399423055927730e-01
1.6705299999999999e-02 3.3928251920058650e-01
1.7082699999999999e-02 2.7374206440832022e-01
1.7481400000000001e-02 2.1119446134139996e-01
1.7852500000000000e-02 1.6781313282635846e-01
1.8235100000000001e-02 1.3693699316930885e-01
1.8617100000000001e-02 1.0860734317587756e-01
1.9027800000000001e-02 8.3480105301429547e-02
1.9369800000000000e-02 7.0149957231593160e-02
1.9778299999999999e-02 5.8225150777101498e-02
2.0197699999999999e-02 4.7804164859041771e-02
2.0552100000000000e-02 4.1672309518274907e-02
2.1000600000000001e-02 3.5596713043210576e-02
2.1354499999999998e-02 3.2565283589659579e-02
2.1721200000000000e-02 2.9681129539024308e-02
2.2104599999999999e-02 2.9074698110236930e-02
2.2469699999999999e-02 2.7803432821038337e-02
2.2902700000000002e-02 2.5413386887359557e-02
2.3292400000000001e-02 2.3878820685054595e-02
2.3691299999999998e-02 2.2067751478966512e-02
2.4065599999999999e-02 2.1384223039991043e-02
2.4449900000000000e-02 1.9139536023109339e-02
2.4854899999999999e-02 1.7754160198143239e-02
2.5240800000000001e-02 1.6390785919590492e-02
2.5621999999999999e-02 1.5033781972090640e-02
2.5984000000000000e-02 1.3758123548866876e-02
2.4993600000000001e-02 1.7201329230575373e-02
2.7389799999999999e-02 1.0814944559211736e-02
2.9844099999999998e-02 6.5898053338266475e-03
3.2260200000000003e-02 4.4661487441167054e-03
3.4629600000000003e-02 3.1594640081355060e-03
3.7107000000000001e-02 2.4778510757450965e-03
3.9497299999999999e-02 2.0143532590208191e-03
4.1972299999999997e-02 1.4879680287124141e-03
4.4349899999999998e-02 1.1985516215747287e-03
4.6736100000000003e-02 9.1279087851151399e-04
4.9204699999999997e-02 7.5108915501508728e-04
5.1594300000000003e-02 6.1127333409209737e-04
5.4093099999999998e-02 4.8952589051458762e-04
5.6504600000000002e-02 3.9609669624954556e-04
5.8837599999999997e-02 3.4555174665255308e-04
6.1255400000000002e-02 2.9421352303944139e-04
6.3691600000000001e-02 2.3883446234014764e-04
6.6195500000000004e-02 2.0304506346978190e-04
6.8508899999999998e-02 1.7004233448652135e-04
7.0980100000000004e-02 1.4572090651666274e-04
7.3366299999999995e-02 1.2353802133754791e-04
7.5837000000000002e-02 1.1395669159728488e-04
7.8223000000000001e-02 1.0196479126212043e-04
8.0709799999999998e-02 8.7746451270002537e-05
8.2989800000000002e-02 7.8256649314597184e-05
8.5581699999999997e-02 7.1279286306348441e-05
8.7865600000000002e-02 6.3205151372216305e-05
9.0362200000000004e-02 5.5796983508822193e-05
9.2738799999999996e-02 4.9660383038198696e-05
9.5138600000000004e-02 4.4814627017019335e-05
9.7562899999999994e-02 3.8817591000774013e-05
9.9894800000000006e-02 3.6566413423872334e-05
9.4814599999999999e-02 4.5431951264128997e-05
1.0107500000000000e-01 3.5250099834747785e-05
1.0717300000000000e-01 2.7367365774755134e-05
1.1332500000000000e-01 2.2478118839176818e-05
1.1942999999999999e-01 1.8023041648426221e-05
1.2537300000000001e-01 1.4958377242121733e-05
1.3156899999999999e-01 1.1725320337510260e-05
1.3746800000000001e-01 9.8067481170559605e-06
1.4415700000000001e-01 7.8916303197904820e-06
1.5008800000000000e-01 6.4757212032492746e-06
1.3997999999999999e-01 8.8956258112915044e-06
1.4840700000000001e-01 6.8473388181422376e-06
1.5680400000000000e-01 5.3332873819554440e-06
1.6530700000000001e-01 4.2873361459672461e-06
1.7354800000000001e-01 3.4018856877134828e-06
1.8250600000000000e-01 2.7425918983897286e-06
1.9033000000000000e-01 2.2161570979289628e-06
1.9914000000000001e-01 1.8742922890135613e-06
2.0702899999999999e-01 1.5583030328491594e-06
2.1571299999999999e-01 1.2928428843846009e-06
2.2402600000000000e-01 1.0669261554007978e-06
2.3261799999999999e-01 9.0720325485842419e-07
2.4120700000000000e-01 7.8240396528951872e-07
2.6612100000000000e-01 4.9636983299556776e-07
2.7480399999999999e-01 4.1915399126853810e-07
