#  Q(A^-1)        R           dR         dQ(A^-1)    
7.00720e-03  9.97779e-01  1.54092e-02  7.00720e-04  
8.00235e-03  1.01350e+00  1.54092e-02  8.00235e-04  
9.00396e-03  9.73251e-01  1.54092e-02  9.00396e-04  
1.00143e-02  9.92105e-01  1.54092e-02  1.00143e-03  
1.09959e-02  9.96698e-01  1.54092e-02  1.09959e-03  
1.19869e-02  9.81377e-01  1.54092e-02  1.19869e-03  
1.29864e-02  9.72387e-01  1.54092e-02  1.29864e-03  
1.40186e-02  9.97769e-01  1.54092e-02  1.40186e-03  
1.50025e-02  9.98271e-01  1.54092e-02  1.50025e-03  
1.60015e-02  1.00756e+00  1.53936e-02  1.60015e-03  
1.70131e-02  9.22006e-01  1.48895e-02  1.70131e-03  
1.79889e-02  6.47806e-01  1.23439e-02  1.79889e-03  
1.90136e-02  2.99916e-01  8.45913e-03  1.90136e-03  
2.00286e-02  1.64725e-01  6.12960e-03  2.00286e-03  
2.09979e-02  1.09243e-01  4.89997e-03  2.09979e-03  
2.19959e-02  6.98764e-02  4.10035e-03  2.19959e-03  
2.30432e-02  4.76826e-02  3.49612e-03  2.30432e-03  
2.39447e-02  4.14111e-02  3.09387e-03  2.39447e-03  
2.49647e-02  2.84259e-02  2.72789e-03  2.49647e-03  
2.60743e-02  2.21121e-02  2.40722e-03  2.60743e-03  
2.50369e-02  3.06860e-02  1.67441e-04  2.50369e-03  
2.74519e-02  1.83625e-02  1.29521e-04  2.74519e-03  
2.98417e-02  1.17511e-02  1.04209e-04  2.98417e-03  
3.23337e-02  7.93201e-03  8.53591e-05  3.23337e-03  
3.46874e-02  5.67124e-03  7.20806e-05  3.46874e-03  
3.70577e-02  4.08992e-03  6.17063e-05  3.70577e-03  
3.95342e-02  3.05744e-03  5.31427e-05  3.95342e-03  
4.19047e-02  2.32863e-03  4.65455e-05  4.19047e-03  
4.44111e-02  1.75398e-03  4.08374e-05  4.44111e-03  
4.67078e-02  1.39207e-03  3.64881e-05  4.67078e-03  
4.91807e-02  1.09146e-03  3.25417e-05  4.91807e-03  
5.16113e-02  8.76783e-04  2.92556e-05  5.16113e-03  
5.39957e-02  7.32852e-04  2.64907e-05  5.39957e-03  
5.64966e-02  5.52981e-04  2.39890e-05  5.64966e-03  
5.88258e-02  4.58007e-04  2.19615e-05  5.88258e-03  
6.13341e-02  3.54895e-04  2.00490e-05  6.13341e-03  
6.37391e-02  3.35532e-04  1.84375e-05  6.37391e-03  
6.61404e-02  2.77230e-04  1.70117e-05  6.61404e-03  
6.84906e-02  2.46663e-04  1.57679e-05  6.84906e-03  
7.09536e-02  2.26656e-04  1.46022e-05  7.09536e-03  
7.34253e-02  1.72817e-04  1.35555e-05  7.34253e-03  
7.57777e-02  1.39731e-04  1.26579e-05  7.57777e-03  
7.82869e-02  1.38996e-04  1.17936e-05  7.82869e-03  
8.07169e-02  1.02053e-04  1.10362e-05  8.07169e-03  
8.32426e-02  1.03278e-04  1.03219e-05  8.32426e-03  
8.54096e-02  8.13528e-05  9.76196e-06  8.54096e-03  
8.78963e-02  6.84503e-05  9.17249e-06  8.78963e-03  
9.04985e-02  7.14404e-05  8.60982e-06  9.04985e-03  
9.27309e-02  5.63242e-05  8.16654e-06  9.27309e-03  
9.51407e-02  5.21562e-05  7.72471e-06  9.51407e-03  
9.77653e-02  4.41192e-05  7.28247e-06  9.77653e-03  
1.00105e-01  3.08822e-05  6.91895e-06  1.00105e-02  
9.50100e-02  5.02974e-05  4.01771e-06  9.50100e-03  
1.01038e-01  3.74561e-05  3.58554e-06  1.01038e-02  
1.07120e-01  2.78158e-05  3.22574e-06  1.07120e-02  
1.13485e-01  2.36706e-05  2.91339e-06  1.13485e-02  
1.19127e-01  1.59115e-05  2.68030e-06  1.19127e-02  
1.25645e-01  1.40431e-05  2.45212e-06  1.25645e-02  
1.31771e-01  8.46958e-06  2.27042e-06  1.31771e-02  
1.37771e-01  4.29347e-06  2.11761e-06  1.37771e-02  
1.43994e-01  9.48852e-06  1.98092e-06  1.43994e-02  
1.49718e-01  1.19167e-06  1.87162e-06  1.49718e-02  
1.40214e-01  5.69239e-06  1.29071e-06  1.40214e-02  
1.48531e-01  3.67047e-06  1.24459e-06  1.48531e-02  
1.56997e-01  2.07021e-06  1.20584e-06  1.56997e-02  
1.65480e-01  2.17286e-06  1.17361e-06  1.65480e-02  
1.73653e-01  3.53066e-06  1.14761e-06  1.73653e-02  
1.99144e-01  7.25464e-07  1.08947e-06  1.99144e-02  
2.07396e-01  1.29226e-06  1.07611e-06  2.07396e-02  
2.15609e-01  3.00136e-07  1.06476e-06  2.15609e-02  
2.24148e-01  6.48018e-07  1.05473e-06  2.24148e-02  
2.32802e-01  9.07410e-07  1.04610e-06  2.32802e-02  
2.40827e-01  1.15492e-06  1.03929e-06  2.40827e-02  
2.66786e-01  7.71344e-07  1.02325e-06  2.66786e-02  
2.74502e-01  5.73191e-07  1.01985e-06  2.74502e-02  
2.83544e-01  4.14530e-08  1.01647e-06  2.83544e-02  
